,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted
33,0.83,5-Ideal,7-D,2-SI2,62.1,56.0,6.0,6.04,3.74,6,2880.947711857767
34,0.51,3-Very Good,4-G,3-SI1,63.0,53.0,5.1,5.13,3.22,3,4099.881433023846
35,1.06,5-Ideal,6-E,4-VS2,61.3,57.0,6.54,6.57,4.02,5,3287.25895224646
36,0.41,5-Ideal,7-D,5-VS1,61.8,57.0,4.75,4.8,2.95,6,2880.947711857767
37,1.03,5-Ideal,5-F,4-VS2,60.4,56.0,6.59,6.56,3.97,4,3693.570192635153
38,0.32,5-Ideal,7-D,3-SI1,61.3,55.0,4.41,4.46,2.72,6,2880.947711857767
39,0.3,4-Premium,1-J,5-VS1,62.6,58.0,4.32,4.27,2.69,0,5318.815154189925
40,0.32,3-Very Good,7-D,6-VVS2,60.1,58.0,4.41,4.44,2.66,6,2880.947711857767
41,0.33,5-Ideal,4-G,5-VS1,61.7,56.0,4.44,4.47,2.75,3,4099.881433023846
42,0.25,5-Ideal,4-G,5-VS1,62.7,54.0,4.05,4.08,2.55,3,4099.881433023846
43,0.3,5-Ideal,5-F,5-VS1,61.0,56.0,4.37,4.35,2.66,4,3693.570192635153
44,1.26,3-Very Good,5-F,8-IF,60.0,60.0,7.04,7.09,4.24,4,3693.570192635153
45,1.14,5-Ideal,1-J,5-VS1,61.6,56.0,6.71,6.73,4.14,0,5318.815154189925
46,1.51,4-Premium,3-H,3-SI1,62.8,60.0,7.22,7.14,4.51,2,4506.192673412539
47,0.51,3-Very Good,6-E,2-SI2,62.0,57.0,5.09,5.13,3.17,5,3287.25895224646
48,0.32,5-Ideal,4-G,8-IF,61.0,57.0,4.44,4.48,2.72,3,4099.881433023846
49,0.94,4-Premium,6-E,2-SI2,60.4,59.0,6.37,6.34,3.84,5,3287.25895224646
50,0.51,4-Premium,6-E,4-VS2,60.6,58.0,5.15,5.12,3.11,5,3287.25895224646
51,1.12,5-Ideal,3-H,2-SI2,61.4,56.0,6.69,6.66,4.1,2,4506.192673412539
52,1.33,4-Premium,4-G,2-SI2,60.3,58.0,7.19,7.16,4.33,3,4099.881433023846
53,0.32,4-Premium,3-H,4-VS2,61.7,59.0,4.35,4.4,2.7,2,4506.192673412539
54,0.7,5-Ideal,6-E,4-VS2,62.6,57.0,5.63,5.68,3.54,5,3287.25895224646
55,1.35,5-Ideal,3-H,7-VVS1,61.9,57.0,7.06,7.09,4.38,2,4506.192673412539
56,0.23,2-Good,5-F,4-VS2,63.8,57.0,3.93,3.84,2.48,4,3693.570192635153
57,0.9,3-Very Good,5-F,1-I1,61.9,59.0,6.16,6.18,3.82,4,3693.570192635153
58,1.03,5-Ideal,7-D,3-SI1,61.3,56.0,6.48,6.54,3.99,6,2880.947711857767
59,1.02,2-Good,6-E,2-SI2,62.8,64.0,6.36,6.32,3.98,5,3287.25895224646
60,0.55,5-Ideal,3-H,6-VVS2,61.7,57.0,5.28,5.26,3.25,2,4506.192673412539
61,0.34,5-Ideal,6-E,8-IF,61.7,56.0,4.46,4.48,2.76,5,3287.25895224646
62,0.71,4-Premium,7-D,6-VVS2,60.0,58.0,5.92,5.84,3.53,6,2880.947711857767
63,0.55,2-Good,4-G,3-SI1,63.6,61.0,5.22,5.16,3.3,3,4099.881433023846
64,0.54,5-Ideal,4-G,4-VS2,61.5,55.0,5.24,5.27,3.23,3,4099.881433023846
65,1.23,5-Ideal,3-H,8-IF,61.3,57.0,6.87,6.92,4.23,2,4506.192673412539
66,0.27,4-Premium,6-E,7-VVS1,60.6,58.0,4.18,4.2,2.54,5,3287.25895224646
67,0.53,5-Ideal,7-D,4-VS2,61.4,56.0,5.18,5.21,3.19,6,2880.947711857767
68,1.25,5-Ideal,4-G,2-SI2,61.1,55.0,6.95,6.99,4.26,3,4099.881433023846
69,0.34,5-Ideal,6-E,6-VVS2,62.3,57.0,4.48,4.44,2.78,5,3287.25895224646
70,0.36,4-Premium,2-I,4-VS2,62.7,59.0,4.54,4.58,2.86,1,4912.503913801233
71,0.34,5-Ideal,4-G,3-SI1,61.2,57.0,4.56,4.53,2.78,3,4099.881433023846
72,1.12,2-Good,6-E,3-SI1,64.3,57.0,6.56,6.5,4.2,5,3287.25895224646
73,0.3,5-Ideal,3-H,5-VS1,61.6,55.0,4.27,4.3,2.64,2,4506.192673412539
74,0.36,5-Ideal,7-D,3-SI1,62.0,56.0,4.61,4.55,2.84,6,2880.947711857767
75,0.71,5-Ideal,5-F,7-VVS1,61.1,54.0,5.78,5.84,3.55,4,3693.570192635153
76,0.32,4-Premium,4-G,4-VS2,62.6,60.0,4.33,4.36,2.72,3,4099.881433023846
77,0.5,4-Premium,6-E,4-VS2,61.3,60.0,5.11,5.07,3.12,5,3287.25895224646
78,0.51,3-Very Good,6-E,3-SI1,63.3,59.0,5.09,5.05,3.21,5,3287.25895224646
79,0.58,5-Ideal,1-J,5-VS1,61.9,58.0,5.31,5.35,3.3,0,5318.815154189925
80,0.3,5-Ideal,5-F,8-IF,62.5,54.0,4.31,4.33,2.7,4,3693.570192635153
81,0.39,5-Ideal,4-G,7-VVS1,62.3,57.0,4.7,4.64,2.91,3,4099.881433023846
82,0.31,5-Ideal,5-F,4-VS2,61.8,56.0,4.37,4.33,2.69,4,3693.570192635153
83,0.9,3-Very Good,3-H,5-VS1,60.5,63.0,6.13,6.16,3.72,2,4506.192673412539
84,0.81,4-Premium,4-G,2-SI2,61.7,57.0,5.99,5.94,3.68,3,4099.881433023846
85,0.7,4-Premium,6-E,2-SI2,61.1,61.0,5.74,5.69,3.49,5,3287.25895224646
86,0.38,3-Very Good,1-J,4-VS2,60.5,60.0,4.64,4.68,2.82,0,5318.815154189925
87,0.71,3-Very Good,4-G,3-SI1,60.0,59.0,5.76,5.8,3.47,3,4099.881433023846
88,0.71,3-Very Good,7-D,4-VS2,63.1,58.0,5.67,5.7,3.59,6,2880.947711857767
89,0.9,3-Very Good,3-H,5-VS1,62.1,59.0,6.09,6.14,3.8,2,4506.192673412539
90,0.74,3-Very Good,5-F,2-SI2,63.2,58.0,5.75,5.71,3.62,4,3693.570192635153
91,1.5,4-Premium,3-H,4-VS2,62.4,59.0,7.32,7.29,4.56,2,4506.192673412539
92,1.5,3-Very Good,5-F,3-SI1,63.0,55.0,7.27,7.31,4.59,4,3693.570192635153
93,0.42,5-Ideal,5-F,5-VS1,61.0,57.0,4.87,4.84,2.96,4,3693.570192635153
94,1.01,4-Premium,4-G,4-VS2,61.6,58.0,6.45,6.4,3.96,3,4099.881433023846
95,2.48,4-Premium,2-I,2-SI2,63.0,62.0,8.62,8.58,5.42,1,4912.503913801233
96,1.02,5-Ideal,5-F,6-VVS2,61.1,56.3,6.48,6.52,3.97,4,3693.570192635153
97,0.4,5-Ideal,7-D,4-VS2,61.3,57.0,4.77,4.75,2.92,6,2880.947711857767
98,0.7,5-Ideal,5-F,3-SI1,61.3,57.0,5.76,5.79,3.54,4,3693.570192635153
99,1.01,2-Good,6-E,4-VS2,62.5,58.0,6.32,6.36,3.96,5,3287.25895224646
100,1.13,3-Very Good,2-I,4-VS2,60.7,58.0,6.72,6.75,4.09,1,4912.503913801233
101,1.09,5-Ideal,2-I,4-VS2,61.9,56.0,6.62,6.67,4.09,1,4912.503913801233
102,0.7,3-Very Good,6-E,4-VS2,62.7,58.0,5.65,5.67,3.55,5,3287.25895224646
103,1.0,4-Premium,5-F,3-SI1,60.8,59.0,6.44,6.38,3.9,4,3693.570192635153
104,1.52,5-Ideal,3-H,4-VS2,61.8,54.0,7.42,7.43,4.59,2,4506.192673412539
105,0.41,5-Ideal,4-G,6-VVS2,62.2,56.0,4.75,4.8,2.97,3,4099.881433023846
106,0.43,3-Very Good,1-J,4-VS2,60.9,59.0,4.86,4.9,2.97,0,5318.815154189925
107,0.31,3-Very Good,6-E,2-SI2,60.8,61.0,4.39,4.43,2.68,5,3287.25895224646
108,0.33,5-Ideal,4-G,4-VS2,62.2,56.0,4.47,4.44,2.77,3,4099.881433023846
109,0.7,4-Premium,6-E,4-VS2,61.0,59.0,5.74,5.7,3.49,5,3287.25895224646
110,0.33,5-Ideal,4-G,6-VVS2,62.5,54.0,4.41,4.45,2.77,3,4099.881433023846
111,1.16,4-Premium,3-H,2-SI2,62.6,57.0,6.75,6.67,4.2,2,4506.192673412539
112,0.51,5-Ideal,6-E,4-VS2,61.8,57.0,5.15,5.14,3.18,5,3287.25895224646
113,1.13,2-Good,4-G,1-I1,63.4,58.0,6.58,6.61,4.18,3,4099.881433023846
114,0.52,4-Premium,6-E,4-VS2,62.5,60.0,5.1,5.14,3.2,5,3287.25895224646
115,0.23,3-Very Good,5-F,6-VVS2,61.4,56.0,3.94,3.97,2.43,4,3693.570192635153
116,0.5,1-Fair,5-F,3-SI1,64.7,60.0,4.99,4.84,3.18,4,3693.570192635153
117,1.08,3-Very Good,7-D,5-VS1,60.5,58.0,6.53,6.63,3.98,6,2880.947711857767
118,0.3,4-Premium,4-G,5-VS1,62.2,59.0,4.31,4.28,2.67,3,4099.881433023846
119,0.48,5-Ideal,1-J,5-VS1,62.2,54.0,5.01,5.06,3.13,0,5318.815154189925
120,1.51,5-Ideal,1-J,5-VS1,61.6,58.0,7.35,7.43,4.55,0,5318.815154189925
121,1.03,4-Premium,5-F,2-SI2,62.4,59.0,6.45,6.38,4.0,4,3693.570192635153
122,0.31,3-Very Good,4-G,6-VVS2,63.4,59.0,4.29,4.26,2.71,3,4099.881433023846
123,0.4,5-Ideal,4-G,8-IF,62.3,55.0,4.74,4.76,2.96,3,4099.881433023846
124,1.03,5-Ideal,6-E,4-VS2,61.7,56.0,6.45,6.54,4.01,5,3287.25895224646
125,1.16,4-Premium,1-J,3-SI1,62.5,58.0,6.73,6.67,4.19,0,5318.815154189925
126,1.04,3-Very Good,1-J,2-SI2,62.8,57.0,6.44,6.5,4.06,0,5318.815154189925
127,0.71,4-Premium,6-E,4-VS2,61.5,60.0,5.76,5.68,3.52,5,3287.25895224646
128,0.29,3-Very Good,3-H,6-VVS2,61.2,56.0,4.26,4.29,2.61,2,4506.192673412539
129,1.09,5-Ideal,4-G,2-SI2,61.2,57.0,6.68,6.63,4.07,3,4099.881433023846
130,0.74,5-Ideal,5-F,5-VS1,62.3,56.0,5.76,5.79,3.6,4,3693.570192635153
131,0.42,5-Ideal,7-D,4-VS2,62.4,55.0,4.82,4.8,3.0,6,2880.947711857767
132,0.54,5-Ideal,2-I,3-SI1,62.0,55.0,5.21,5.25,3.24,1,4912.503913801233
133,0.51,5-Ideal,6-E,4-VS2,62.6,55.0,5.08,5.11,3.19,5,3287.25895224646
134,1.01,4-Premium,5-F,2-SI2,58.8,61.0,6.53,6.46,3.82,4,3693.570192635153
135,1.0,4-Premium,3-H,4-VS2,59.4,61.0,6.51,6.46,3.85,2,4506.192673412539
136,1.02,4-Premium,3-H,4-VS2,61.0,60.0,6.5,6.46,3.95,2,4506.192673412539
137,0.73,2-Good,6-E,5-VS1,60.8,61.0,5.77,5.8,3.52,5,3287.25895224646
138,1.01,4-Premium,3-H,2-SI2,60.3,59.0,6.51,6.45,3.91,2,4506.192673412539
139,0.33,2-Good,7-D,3-SI1,63.1,55.0,4.38,4.4,2.77,6,2880.947711857767
140,1.22,5-Ideal,5-F,5-VS1,62.3,57.0,6.79,6.83,4.24,4,3693.570192635153
141,0.31,5-Ideal,7-D,5-VS1,62.0,54.0,4.35,4.36,2.7,6,2880.947711857767
142,1.07,4-Premium,4-G,3-SI1,60.5,62.0,6.69,6.6,4.02,3,4099.881433023846
143,1.01,3-Very Good,6-E,6-VVS2,60.2,60.0,6.46,6.5,3.9,5,3287.25895224646
144,0.23,3-Very Good,5-F,8-IF,59.5,58.0,4.0,4.03,2.39,4,3693.570192635153
145,0.35,3-Very Good,7-D,5-VS1,60.9,58.0,4.54,4.56,2.77,6,2880.947711857767
146,0.55,5-Ideal,5-F,6-VVS2,60.7,56.0,5.31,5.34,3.23,4,3693.570192635153
147,0.9,5-Ideal,4-G,3-SI1,61.9,59.0,6.16,6.19,3.82,3,4099.881433023846
148,0.72,5-Ideal,4-G,7-VVS1,62.2,57.0,5.72,5.75,3.57,3,4099.881433023846
149,0.83,3-Very Good,6-E,3-SI1,63.5,58.0,5.93,5.98,3.78,5,3287.25895224646
150,1.04,5-Ideal,3-H,3-SI1,61.9,57.0,6.49,6.46,4.01,2,4506.192673412539
151,0.71,3-Very Good,6-E,4-VS2,59.9,59.0,5.77,5.81,3.47,5,3287.25895224646
152,0.43,5-Ideal,5-F,3-SI1,61.3,56.0,4.9,4.86,2.99,4,3693.570192635153
153,0.33,5-Ideal,6-E,4-VS2,61.3,55.0,4.46,4.48,2.74,5,3287.25895224646
154,1.72,1-Fair,7-D,2-SI2,64.6,58.0,7.53,7.46,4.84,6,2880.947711857767
155,1.13,5-Ideal,4-G,3-SI1,61.8,55.0,6.71,6.75,4.16,3,4099.881433023846
156,0.52,5-Ideal,7-D,3-SI1,62.4,56.0,5.12,5.17,3.21,6,2880.947711857767
157,0.3,3-Very Good,4-G,5-VS1,62.5,55.0,4.25,4.32,2.68,3,4099.881433023846
158,1.53,4-Premium,4-G,5-VS1,61.0,60.0,7.43,7.4,4.52,3,4099.881433023846
159,2.02,1-Fair,3-H,2-SI2,56.5,61.0,8.33,8.37,4.72,2,4506.192673412539
160,0.33,4-Premium,3-H,5-VS1,61.0,59.0,4.5,4.45,2.73,2,4506.192673412539
161,0.7,3-Very Good,4-G,1-I1,61.5,63.0,5.73,5.65,3.5,3,4099.881433023846
162,1.26,4-Premium,2-I,3-SI1,60.5,62.0,6.97,6.92,4.2,1,4912.503913801233
163,0.3,4-Premium,7-D,4-VS2,62.5,59.0,4.28,4.23,2.66,6,2880.947711857767
164,0.59,3-Very Good,3-H,5-VS1,62.1,55.0,5.37,5.41,3.35,2,4506.192673412539
165,0.82,5-Ideal,6-E,3-SI1,62.1,55.0,5.98,6.0,3.72,5,3287.25895224646
166,0.39,3-Very Good,4-G,6-VVS2,60.7,61.0,4.7,4.73,2.86,3,4099.881433023846
167,0.31,5-Ideal,3-H,8-IF,62.1,54.0,4.33,4.37,2.7,2,4506.192673412539
168,1.26,5-Ideal,2-I,2-SI2,62.0,56.0,7.0,6.94,4.32,1,4912.503913801233
169,1.51,3-Very Good,5-F,2-SI2,62.7,60.0,7.25,7.32,4.57,4,3693.570192635153
170,0.56,5-Ideal,4-G,5-VS1,60.6,56.0,5.33,5.36,3.24,3,4099.881433023846
171,0.31,5-Ideal,4-G,7-VVS1,62.5,55.0,4.34,4.33,2.71,3,4099.881433023846
172,0.56,5-Ideal,3-H,6-VVS2,60.9,57.0,5.38,5.33,3.26,2,4506.192673412539
173,0.96,4-Premium,6-E,2-SI2,58.2,58.0,6.52,6.47,3.78,5,3287.25895224646
174,0.52,3-Very Good,6-E,3-SI1,62.7,57.0,5.1,5.14,3.21,5,3287.25895224646
175,1.02,3-Very Good,3-H,3-SI1,63.5,55.0,6.31,6.35,4.02,2,4506.192673412539
176,1.06,2-Good,2-I,5-VS1,57.5,62.0,6.71,6.83,3.9,1,4912.503913801233
177,1.21,5-Ideal,3-H,3-SI1,62.1,59.0,6.81,6.75,4.21,2,4506.192673412539
178,2.02,1-Fair,3-H,4-VS2,64.5,57.0,8.0,7.95,5.14,2,4506.192673412539
179,1.52,5-Ideal,4-G,4-VS2,62.1,56.0,7.39,7.34,4.57,3,4099.881433023846
180,2.03,3-Very Good,2-I,2-SI2,62.8,59.0,8.04,8.08,5.06,1,4912.503913801233
181,0.28,2-Good,5-F,6-VVS2,61.2,62.0,4.16,4.21,2.56,4,3693.570192635153
182,0.7,1-Fair,4-G,5-VS1,65.8,61.0,5.61,5.46,3.64,3,4099.881433023846
183,0.7,5-Ideal,4-G,7-VVS1,62.3,57.0,5.61,5.65,3.51,3,4099.881433023846
184,2.32,1-Fair,3-H,1-I1,70.5,55.0,7.93,7.9,5.58,2,4506.192673412539
185,0.58,5-Ideal,1-J,4-VS2,60.9,57.0,5.38,5.4,3.28,0,5318.815154189925
186,0.54,5-Ideal,7-D,5-VS1,61.6,54.0,5.24,5.25,3.23,6,2880.947711857767
187,1.2,3-Very Good,2-I,3-SI1,62.9,54.0,6.75,6.77,4.25,1,4912.503913801233
188,0.52,3-Very Good,5-F,4-VS2,62.4,57.0,5.12,5.13,3.2,4,3693.570192635153
189,1.57,4-Premium,5-F,2-SI2,60.2,60.0,7.49,7.43,4.49,4,3693.570192635153
190,0.7,4-Premium,2-I,1-I1,62.3,58.0,5.69,5.55,3.51,1,4912.503913801233
191,1.57,3-Very Good,3-H,3-SI1,62.0,60.0,7.4,7.44,4.6,2,4506.192673412539
192,1.02,3-Very Good,7-D,4-VS2,63.2,58.0,6.4,6.36,4.03,6,2880.947711857767
193,1.5,4-Premium,5-F,4-VS2,62.4,57.0,7.38,7.29,4.58,4,3693.570192635153
194,0.7,3-Very Good,6-E,5-VS1,62.7,60.0,5.59,5.64,3.52,5,3287.25895224646
195,0.42,4-Premium,5-F,3-SI1,60.6,58.0,4.89,4.81,2.94,4,3693.570192635153
196,2.01,4-Premium,3-H,3-SI1,60.0,60.0,8.16,8.13,4.89,2,4506.192673412539
197,0.31,4-Premium,4-G,5-VS1,62.2,58.0,4.38,4.34,2.71,3,4099.881433023846
198,0.44,5-Ideal,6-E,6-VVS2,61.9,56.0,4.91,4.88,3.03,5,3287.25895224646
199,0.7,5-Ideal,7-D,6-VVS2,61.7,55.0,5.73,5.75,3.54,6,2880.947711857767
200,1.2,4-Premium,1-J,3-SI1,60.0,61.0,6.89,6.84,4.12,0,5318.815154189925
201,1.05,5-Ideal,4-G,5-VS1,62.2,57.0,6.49,6.51,4.04,3,4099.881433023846
202,0.7,5-Ideal,5-F,1-I1,62.1,57.0,5.67,5.64,3.52,4,3693.570192635153
203,0.53,4-Premium,5-F,3-SI1,60.9,59.0,5.21,5.23,3.18,4,3693.570192635153
204,1.09,4-Premium,3-H,2-SI2,61.2,62.0,6.63,6.58,4.04,2,4506.192673412539
205,0.92,4-Premium,6-E,2-SI2,61.8,59.0,6.19,6.11,3.8,5,3287.25895224646
206,0.71,4-Premium,5-F,4-VS2,58.0,62.0,5.85,5.81,3.38,4,3693.570192635153
207,0.57,2-Good,5-F,2-SI2,61.9,57.7,5.32,5.34,3.3,4,3693.570192635153
208,0.71,3-Very Good,4-G,4-VS2,63.5,59.0,5.67,5.63,3.59,3,4099.881433023846
209,0.89,4-Premium,4-G,3-SI1,61.1,58.0,6.24,6.17,3.79,3,4099.881433023846
210,1.06,5-Ideal,4-G,3-SI1,62.9,56.0,6.52,6.49,4.09,3,4099.881433023846
211,0.86,4-Premium,3-H,2-SI2,61.0,58.0,6.15,6.12,3.74,2,4506.192673412539
212,1.1,4-Premium,4-G,4-VS2,60.2,58.0,6.75,6.71,4.05,3,4099.881433023846
213,0.7,5-Ideal,6-E,3-SI1,62.5,57.0,5.7,5.72,3.57,5,3287.25895224646
214,1.04,4-Premium,4-G,5-VS1,61.5,61.0,6.56,6.51,4.02,3,4099.881433023846
215,0.93,4-Premium,6-E,1-I1,62.3,60.0,6.23,6.2,3.87,5,3287.25895224646
216,1.1,4-Premium,5-F,1-I1,59.8,61.0,6.7,6.65,3.99,4,3693.570192635153
217,2.12,4-Premium,3-H,2-SI2,62.3,58.0,8.25,8.16,5.12,2,4506.192673412539
218,0.33,5-Ideal,5-F,7-VVS1,62.4,55.0,4.44,4.47,2.78,4,3693.570192635153
219,0.9,1-Fair,2-I,4-VS2,65.8,55.0,6.05,6.01,3.97,1,4912.503913801233
220,0.71,5-Ideal,6-E,5-VS1,62.0,57.0,5.72,5.66,3.53,5,3287.25895224646
221,1.75,5-Ideal,4-G,4-VS2,62.1,57.0,7.73,7.69,4.79,3,4099.881433023846
222,0.81,5-Ideal,3-H,3-SI1,61.4,56.0,6.0,6.05,3.7,2,4506.192673412539
223,0.75,2-Good,2-I,7-VVS1,63.9,61.0,5.7,5.67,3.63,1,4912.503913801233
224,0.4,5-Ideal,4-G,4-VS2,62.6,56.0,4.69,4.74,2.95,3,4099.881433023846
225,0.34,5-Ideal,4-G,4-VS2,62.1,55.0,4.49,4.46,2.78,3,4099.881433023846
226,0.35,4-Premium,5-F,4-VS2,61.8,58.0,4.48,4.52,2.78,4,3693.570192635153
227,1.29,3-Very Good,2-I,4-VS2,62.8,58.0,6.89,6.93,4.34,1,4912.503913801233
228,1.7,4-Premium,4-G,3-SI1,61.7,58.0,7.69,7.6,4.72,3,4099.881433023846
229,1.01,4-Premium,5-F,3-SI1,62.7,54.0,6.42,6.37,4.01,4,3693.570192635153
230,0.47,2-Good,7-D,3-SI1,63.8,59.0,4.9,4.88,3.12,6,2880.947711857767
231,0.71,4-Premium,6-E,3-SI1,59.2,59.0,5.86,5.83,3.46,5,3287.25895224646
232,1.01,5-Ideal,4-G,5-VS1,61.3,56.0,6.49,6.44,3.96,3,4099.881433023846
233,0.92,2-Good,1-J,2-SI2,59.0,63.0,6.3,6.35,3.73,0,5318.815154189925
234,0.31,5-Ideal,5-F,7-VVS1,61.6,55.0,4.36,4.41,2.7,4,3693.570192635153
235,0.3,5-Ideal,4-G,7-VVS1,61.3,56.0,4.3,4.34,2.65,3,4099.881433023846
236,0.7,3-Very Good,4-G,3-SI1,62.1,58.0,5.66,5.7,3.53,3,4099.881433023846
237,1.01,4-Premium,3-H,8-IF,62.1,59.0,6.47,6.41,4.0,2,4506.192673412539
238,1.5,3-Very Good,3-H,2-SI2,62.5,60.0,7.25,7.32,4.55,2,4506.192673412539
239,0.9,3-Very Good,7-D,5-VS1,62.2,58.0,6.14,6.18,3.83,6,2880.947711857767
240,0.23,2-Good,5-F,6-VVS2,62.8,61.0,3.92,3.95,2.47,4,3693.570192635153
241,0.25,2-Good,6-E,6-VVS2,58.0,65.0,4.13,4.18,2.41,5,3287.25895224646
242,0.35,5-Ideal,5-F,6-VVS2,62.1,56.0,4.56,4.52,2.82,4,3693.570192635153
243,0.73,3-Very Good,7-D,2-SI2,60.4,59.0,5.8,5.86,3.52,6,2880.947711857767
244,0.4,3-Very Good,4-G,8-IF,61.2,57.0,4.77,4.79,2.92,3,4099.881433023846
245,0.3,5-Ideal,6-E,4-VS2,61.5,55.0,4.33,4.29,2.65,5,3287.25895224646
246,1.01,4-Premium,1-J,6-VVS2,62.7,59.0,6.46,6.39,4.03,0,5318.815154189925
247,0.51,5-Ideal,7-D,2-SI2,62.5,55.0,5.12,5.15,3.21,6,2880.947711857767
248,1.72,4-Premium,5-F,1-I1,60.1,58.0,7.77,7.74,4.66,4,3693.570192635153
249,0.51,2-Good,6-E,3-SI1,64.3,54.0,5.1,5.07,3.27,5,3287.25895224646
250,0.7,5-Ideal,6-E,5-VS1,62.2,58.0,5.67,5.71,3.54,5,3287.25895224646
251,0.52,2-Good,3-H,4-VS2,63.6,57.0,5.05,5.1,3.23,2,4506.192673412539
252,1.01,4-Premium,5-F,2-SI2,62.2,59.0,6.41,6.38,3.98,4,3693.570192635153
253,0.31,5-Ideal,5-F,4-VS2,62.1,57.0,4.34,4.36,2.7,4,3693.570192635153
254,1.01,2-Good,4-G,3-SI1,63.6,57.0,6.33,6.37,4.04,3,4099.881433023846
255,1.24,2-Good,6-E,3-SI1,63.5,55.0,6.82,6.86,4.35,5,3287.25895224646
256,1.01,3-Very Good,2-I,3-SI1,60.1,59.0,6.44,6.47,3.88,1,4912.503913801233
257,1.05,5-Ideal,4-G,4-VS2,61.9,57.0,6.47,6.51,4.03,3,4099.881433023846
258,0.9,2-Good,4-G,3-SI1,63.7,60.0,6.11,6.07,3.88,3,4099.881433023846
259,0.56,5-Ideal,6-E,4-VS2,61.6,57.0,5.3,5.32,3.27,5,3287.25895224646
260,0.8,3-Very Good,5-F,3-SI1,61.6,56.0,5.96,6.0,3.68,4,3693.570192635153
261,0.3,5-Ideal,7-D,3-SI1,62.5,57.0,4.32,4.29,2.69,6,2880.947711857767
262,0.76,5-Ideal,3-H,4-VS2,62.7,57.0,5.82,5.86,3.66,2,4506.192673412539
263,1.21,4-Premium,3-H,3-SI1,59.8,58.0,6.95,6.9,4.14,2,4506.192673412539
