,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted,cut_n,clarity_n
34,0.51,3-Very Good,4-G,3-SI1,63.0,53.0,5.1,5.13,3.22,3,651.9023361605273,2,2
35,1.06,5-Ideal,6-E,4-VS2,61.3,57.0,6.54,6.57,4.02,5,6730.033648058246,4,3
36,0.41,5-Ideal,7-D,5-VS1,61.8,57.0,4.75,4.8,2.95,6,1867.0194672440316,4,4
37,1.03,5-Ideal,5-F,4-VS2,60.4,56.0,6.59,6.56,3.97,4,6197.4189361196095,4,3
38,0.32,5-Ideal,7-D,3-SI1,61.3,55.0,4.41,4.46,2.72,6,31.05212859113317,4,2
39,0.3,4-Premium,1-J,5-VS1,62.6,58.0,4.32,4.27,2.69,0,-1044.013969865288,3,4
40,0.32,3-Very Good,7-D,6-VVS2,60.1,58.0,4.41,4.44,2.66,6,1706.1992461752966,2,5
41,0.33,5-Ideal,4-G,5-VS1,61.7,56.0,4.44,4.47,2.75,3,219.07770230147935,4,4
42,0.25,5-Ideal,4-G,5-VS1,62.7,54.0,4.05,4.08,2.55,3,-534.3390644617316,4,4
43,0.3,5-Ideal,5-F,5-VS1,61.0,56.0,4.37,4.35,2.66,4,311.0502441894728,4,4
44,1.26,3-Very Good,5-F,8-IF,60.0,60.0,7.04,7.09,4.24,4,10381.271353882996,2,7
45,1.14,5-Ideal,1-J,5-VS1,61.6,56.0,6.71,6.73,4.14,0,6363.885975741285,4,4
46,1.51,4-Premium,3-H,3-SI1,62.8,60.0,7.22,7.14,4.51,2,9100.802114098029,3,2
47,0.51,3-Very Good,6-E,2-SI2,62.0,57.0,5.09,5.13,3.17,5,802.8189825803038,2,1
48,0.32,5-Ideal,4-G,8-IF,61.0,57.0,4.44,4.48,2.72,3,1780.19340408996,4,7
49,0.94,4-Premium,6-E,2-SI2,60.4,59.0,6.37,6.34,3.84,5,4652.567283099725,3,1
50,0.51,4-Premium,6-E,4-VS2,60.6,58.0,5.15,5.12,3.11,5,1951.3506395568643,3,3
51,1.12,5-Ideal,3-H,2-SI2,61.4,56.0,6.69,6.66,4.1,2,5222.919898714339,4,1
52,1.33,4-Premium,4-G,2-SI2,60.3,58.0,7.19,7.16,4.33,3,7437.4861225700115,3,1
53,0.32,4-Premium,3-H,4-VS2,61.7,59.0,4.35,4.4,2.7,2,-723.2738303749713,3,3
54,0.7,5-Ideal,6-E,4-VS2,62.6,57.0,5.63,5.68,3.54,5,3509.081727866201,4,3
55,1.35,5-Ideal,3-H,7-VVS1,61.9,57.0,7.06,7.09,4.38,2,9896.326379844802,4,6
56,0.23,2-Good,5-F,4-VS2,63.8,57.0,3.93,3.84,2.48,4,-987.3127003875375,1,3
57,0.9,3-Very Good,5-F,1-I1,61.9,59.0,6.16,6.18,3.82,4,3368.121503036226,2,0
58,1.03,5-Ideal,7-D,3-SI1,61.3,56.0,6.48,6.54,3.99,6,6247.740361457958,4,2
59,1.02,2-Good,6-E,2-SI2,62.8,64.0,6.36,6.32,3.98,5,5225.97154898038,1,1
60,0.55,5-Ideal,3-H,6-VVS2,61.7,57.0,5.28,5.26,3.25,2,2364.9917836126074,4,5
61,0.34,5-Ideal,6-E,8-IF,61.7,56.0,4.46,4.48,2.76,5,2553.426209706827,4,7
62,0.71,4-Premium,7-D,6-VVS2,60.0,58.0,5.92,5.84,3.53,6,5126.29431011236,3,5
63,0.55,2-Good,4-G,3-SI1,63.6,61.0,5.22,5.16,3.3,3,970.3713810213062,1,2
64,0.54,5-Ideal,4-G,4-VS2,61.5,55.0,5.24,5.27,3.23,3,1531.201014795332,4,3
65,1.23,5-Ideal,3-H,8-IF,61.3,57.0,6.87,6.92,4.23,2,9414.589852669318,4,7
66,0.27,4-Premium,6-E,7-VVS1,60.6,58.0,4.18,4.2,2.54,5,1461.5481926127482,3,6
67,0.53,5-Ideal,7-D,4-VS2,61.4,56.0,5.18,5.21,3.19,6,2401.7008476202677,4,3
68,1.25,5-Ideal,4-G,2-SI2,61.1,55.0,6.95,6.99,4.26,3,6694.65832644695,4,1
69,0.34,5-Ideal,6-E,6-VVS2,62.3,57.0,4.48,4.44,2.78,5,1447.2504352908686,4,5
70,0.36,4-Premium,2-I,4-VS2,62.7,59.0,4.54,4.58,2.86,1,-743.5708390278828,3,3
71,0.34,5-Ideal,4-G,3-SI1,61.2,57.0,4.56,4.53,2.78,3,-741.2997443983454,4,2
72,1.12,2-Good,6-E,3-SI1,64.3,57.0,6.56,6.5,4.2,5,6559.348592380082,1,2
73,0.3,5-Ideal,3-H,5-VS1,61.6,55.0,4.27,4.3,2.64,2,-355.8928921977572,4,4
74,0.36,5-Ideal,7-D,3-SI1,62.0,56.0,4.61,4.55,2.84,6,344.226688131836,4,2
75,0.71,5-Ideal,5-F,7-VVS1,61.1,54.0,5.78,5.84,3.55,4,4970.083178372508,4,6
76,0.32,4-Premium,4-G,4-VS2,62.6,60.0,4.33,4.36,2.72,3,-453.3360860222583,3,3
77,0.5,4-Premium,6-E,4-VS2,61.3,60.0,5.11,5.07,3.12,5,1826.7302531210312,3,3
78,0.51,3-Very Good,6-E,3-SI1,63.3,59.0,5.09,5.05,3.21,5,1271.195104667081,2,2
79,0.58,5-Ideal,1-J,5-VS1,61.9,58.0,5.31,5.35,3.3,0,1444.6991248438458,4,4
80,0.3,5-Ideal,5-F,8-IF,62.5,54.0,4.31,4.33,2.7,4,1843.2462581316072,4,7
81,0.39,5-Ideal,4-G,7-VVS1,62.3,57.0,4.7,4.64,2.91,3,1787.0735880483812,4,6
82,0.31,5-Ideal,5-F,4-VS2,61.8,56.0,4.37,4.33,2.69,4,-180.9510804235747,4,3
83,0.9,3-Very Good,3-H,5-VS1,60.5,63.0,6.13,6.16,3.72,2,4955.885798041514,2,4
84,0.81,4-Premium,4-G,2-SI2,61.7,57.0,5.99,5.94,3.68,3,2810.2958899329738,3,1
85,0.7,4-Premium,6-E,2-SI2,61.1,61.0,5.74,5.69,3.49,5,2514.0901451718205,3,1
86,0.38,3-Very Good,1-J,4-VS2,60.5,60.0,4.64,4.68,2.82,0,-769.5622958290035,2,3
87,0.71,3-Very Good,4-G,3-SI1,60.0,59.0,5.76,5.8,3.47,3,2561.91667966893,2,2
88,0.71,3-Very Good,7-D,4-VS2,63.1,58.0,5.67,5.7,3.59,6,3887.7564026945224,2,3
89,0.9,3-Very Good,3-H,5-VS1,62.1,59.0,6.09,6.14,3.8,2,4871.174032920311,2,4
90,0.74,3-Very Good,5-F,2-SI2,63.2,58.0,5.75,5.71,3.62,4,2435.553797998083,2,1
91,1.5,4-Premium,3-H,4-VS2,62.4,59.0,7.32,7.29,4.56,2,9571.625497430776,3,3
92,1.5,3-Very Good,5-F,3-SI1,63.0,55.0,7.27,7.31,4.59,4,9637.83037872935,2,2
93,0.42,5-Ideal,5-F,5-VS1,61.0,57.0,4.87,4.84,2.96,4,1361.758114533161,4,4
94,1.01,4-Premium,4-G,4-VS2,61.6,58.0,6.45,6.4,3.96,3,5641.179021654703,3,3
95,2.48,4-Premium,2-I,2-SI2,63.0,62.0,8.62,8.58,5.42,1,16728.642551921555,3,1
96,1.02,5-Ideal,5-F,6-VVS2,61.1,56.3,6.48,6.52,3.97,4,7147.207412179285,4,5
97,0.4,5-Ideal,7-D,4-VS2,61.3,57.0,4.77,4.75,2.92,6,1268.728473401346,4,3
98,0.7,5-Ideal,5-F,3-SI1,61.3,57.0,5.76,5.79,3.54,4,2723.1174935460353,4,2
99,1.01,2-Good,6-E,4-VS2,62.5,58.0,6.32,6.36,3.96,5,6228.704878240806,1,3
100,1.13,3-Very Good,2-I,4-VS2,60.7,58.0,6.72,6.75,4.09,1,6104.36103541229,2,3
101,1.09,5-Ideal,2-I,4-VS2,61.9,56.0,6.62,6.67,4.09,1,5690.591254790159,4,3
102,0.7,3-Very Good,6-E,4-VS2,62.7,58.0,5.65,5.67,3.55,5,3503.787242546126,2,3
103,1.0,4-Premium,5-F,3-SI1,60.8,59.0,6.44,6.38,3.9,4,5376.359596005634,3,2
104,1.52,5-Ideal,3-H,4-VS2,61.8,54.0,7.42,7.43,4.59,2,9778.510387741842,4,3
105,0.41,5-Ideal,4-G,6-VVS2,62.2,56.0,4.75,4.8,2.97,3,1430.2816205113163,4,5
106,0.43,3-Very Good,1-J,4-VS2,60.9,59.0,4.86,4.9,2.97,0,-352.9452911327671,2,3
107,0.31,3-Very Good,6-E,2-SI2,60.8,61.0,4.39,4.43,2.68,5,-884.8269774849414,2,1
108,0.33,5-Ideal,4-G,4-VS2,62.2,56.0,4.47,4.44,2.77,3,-344.5991555466503,4,3
109,0.7,4-Premium,6-E,4-VS2,61.0,59.0,5.74,5.7,3.49,5,3593.793492987404,3,3
110,0.33,5-Ideal,4-G,6-VVS2,62.5,54.0,4.41,4.45,2.77,3,713.9262509886316,4,5
111,1.16,4-Premium,3-H,2-SI2,62.6,57.0,6.75,6.67,4.2,2,5509.622031654666,3,1
112,0.51,5-Ideal,6-E,4-VS2,61.8,57.0,5.15,5.14,3.18,5,1887.816815715962,4,3
113,1.13,2-Good,4-G,1-I1,63.4,58.0,6.58,6.61,4.18,3,4984.972862493778,1,0
114,0.52,4-Premium,6-E,4-VS2,62.5,60.0,5.1,5.14,3.2,5,1938.3144076707435,3,3
115,0.23,3-Very Good,5-F,6-VVS2,61.4,56.0,3.94,3.97,2.43,4,214.16380978977395,2,5
116,0.5,1-Fair,5-F,3-SI1,64.7,60.0,4.99,4.84,3.18,4,791.9252087573318,0,2
117,1.08,3-Very Good,7-D,5-VS1,60.5,58.0,6.53,6.63,3.98,6,7802.300052490606,2,4
118,0.3,4-Premium,4-G,5-VS1,62.2,59.0,4.31,4.28,2.67,3,-70.07169188481885,3,4
119,0.48,5-Ideal,1-J,5-VS1,62.2,54.0,5.01,5.06,3.13,0,553.2257769305465,4,4
120,1.51,5-Ideal,1-J,5-VS1,61.6,58.0,7.35,7.43,4.55,0,9603.56857596766,4,4
121,1.03,4-Premium,5-F,2-SI2,62.4,59.0,6.45,6.38,4.0,4,5017.120367222598,3,1
122,0.31,3-Very Good,4-G,6-VVS2,63.4,59.0,4.29,4.26,2.71,3,491.15790471734044,2,5
123,0.4,5-Ideal,4-G,8-IF,62.3,55.0,4.74,4.76,2.96,3,2411.8370084914427,4,7
124,1.03,5-Ideal,6-E,4-VS2,61.7,56.0,6.45,6.54,4.01,5,6446.1787391920225,4,3
125,1.16,4-Premium,1-J,3-SI1,62.5,58.0,6.73,6.67,4.19,0,5416.944723755716,3,2
126,1.04,3-Very Good,1-J,2-SI2,62.8,57.0,6.44,6.5,4.06,0,3813.148966204048,2,1
127,0.71,4-Premium,6-E,4-VS2,61.5,60.0,5.76,5.68,3.52,5,3654.880055582336,3,3
128,0.29,3-Very Good,3-H,6-VVS2,61.2,56.0,4.26,4.29,2.61,2,114.93049113498955,2,5
129,1.09,5-Ideal,4-G,2-SI2,61.2,57.0,6.68,6.63,4.07,3,5288.420014001957,4,1
130,0.74,5-Ideal,5-F,5-VS1,62.3,56.0,5.76,5.79,3.6,4,4094.817459622021,4,4
131,0.42,5-Ideal,7-D,4-VS2,62.4,55.0,4.82,4.8,3.0,6,1385.6071132711336,4,3
132,0.54,5-Ideal,2-I,3-SI1,62.0,55.0,5.21,5.25,3.24,1,332.3479324804234,4,2
133,0.51,5-Ideal,6-E,4-VS2,62.6,55.0,5.08,5.11,3.19,5,1845.4609331553606,4,3
134,1.01,4-Premium,5-F,2-SI2,58.8,61.0,6.53,6.46,3.82,4,5032.603860354691,3,1
135,1.0,4-Premium,3-H,4-VS2,59.4,61.0,6.51,6.46,3.85,2,5352.510597267661,3,3
136,1.02,4-Premium,3-H,4-VS2,61.0,60.0,6.5,6.46,3.95,2,5442.916810537074,3,3
137,0.73,2-Good,6-E,5-VS1,60.8,61.0,5.77,5.8,3.52,5,4404.26386246123,1,4
138,1.01,4-Premium,3-H,2-SI2,60.3,59.0,6.51,6.45,3.91,2,4318.010356086785,3,1
139,0.33,2-Good,7-D,3-SI1,63.1,55.0,4.38,4.4,2.77,6,23.31038202508762,1,2
140,1.22,5-Ideal,5-F,5-VS1,62.3,57.0,6.79,6.83,4.24,4,8297.648940996776,4,4
141,0.31,5-Ideal,7-D,5-VS1,62.0,54.0,4.35,4.36,2.7,6,980.8406046508067,4,4
142,1.07,4-Premium,4-G,3-SI1,60.5,62.0,6.69,6.6,4.02,3,5687.567864099621,3,2
143,1.01,3-Very Good,6-E,6-VVS2,60.2,60.0,6.46,6.5,3.9,5,7424.886903098042,2,5
144,0.23,3-Very Good,5-F,8-IF,59.5,58.0,4.0,4.03,2.39,4,1389.16789336671,2,7
145,0.35,3-Very Good,7-D,5-VS1,60.9,58.0,4.54,4.56,2.77,6,1389.3158999528637,2,4
146,0.55,5-Ideal,5-F,6-VVS2,60.7,56.0,5.31,5.34,3.23,4,3053.112861280137,4,5
147,0.9,5-Ideal,4-G,3-SI1,61.9,59.0,6.16,6.19,3.82,3,4124.942253298343,4,2
148,0.72,5-Ideal,4-G,7-VVS1,62.2,57.0,5.72,5.75,3.57,3,4681.8147168136,4,6
149,0.83,3-Very Good,6-E,3-SI1,63.5,58.0,5.93,5.98,3.78,5,4062.4937882767667,2,2
150,1.04,5-Ideal,3-H,3-SI1,61.9,57.0,6.49,6.46,4.01,2,5033.179989799257,4,2
151,0.71,3-Very Good,6-E,4-VS2,59.9,59.0,5.77,5.81,3.47,5,3739.591820703539,2,3
152,0.43,5-Ideal,5-F,3-SI1,61.3,56.0,4.9,4.86,2.99,4,359.0247852727357,4,2
153,0.33,5-Ideal,6-E,4-VS2,61.3,55.0,4.46,4.48,2.74,5,338.2274368008052,4,3
154,1.72,1-Fair,7-D,2-SI2,64.6,58.0,7.53,7.46,4.84,6,11577.388169123935,0,1
155,1.13,5-Ideal,4-G,3-SI1,61.8,55.0,6.71,6.75,4.16,3,6144.093490110488,4,2
156,0.52,5-Ideal,7-D,3-SI1,62.4,56.0,5.12,5.17,3.21,6,1723.9925739764544,4,2
157,0.3,3-Very Good,4-G,5-VS1,62.5,55.0,4.25,4.32,2.68,3,-85.9551478450444,2,4
158,1.53,4-Premium,4-G,5-VS1,61.0,60.0,7.43,7.4,4.52,3,10763.217802978894,3,4
159,2.02,1-Fair,3-H,2-SI2,56.5,61.0,8.33,8.37,4.72,2,13362.658706975686,0,1
160,0.33,4-Premium,3-H,5-VS1,61.0,59.0,4.5,4.45,2.73,2,-61.449012691383814,3,4
161,0.7,3-Very Good,4-G,1-I1,61.5,63.0,5.73,5.65,3.5,3,1320.5315481769876,2,0
162,1.26,4-Premium,2-I,3-SI1,60.5,62.0,6.97,6.92,4.2,1,6716.012434343684,3,2
163,0.3,4-Premium,7-D,4-VS2,62.5,59.0,4.28,4.23,2.66,6,329.6047576073702,3,3
164,0.59,3-Very Good,3-H,5-VS1,62.1,55.0,5.37,5.41,3.35,2,2156.845367865781,2,4
165,0.82,5-Ideal,6-E,3-SI1,62.1,55.0,5.98,6.0,3.72,5,4049.0575935625116,4,2
166,0.39,3-Very Good,4-G,6-VVS2,60.7,61.0,4.7,4.73,2.86,3,1334.580921921829,2,5
167,0.31,5-Ideal,3-H,8-IF,62.1,54.0,4.33,4.37,2.7,2,1316.8069641404359,4,7
168,1.26,5-Ideal,2-I,2-SI2,62.0,56.0,7.0,6.94,4.32,1,6099.390723294802,4,1
169,1.51,3-Very Good,5-F,2-SI2,62.7,60.0,7.25,7.32,4.57,4,9204.06839263713,2,1
170,0.56,5-Ideal,4-G,5-VS1,60.6,56.0,5.33,5.36,3.24,3,2291.173792314377,4,4
171,0.31,5-Ideal,4-G,7-VVS1,62.5,55.0,4.34,4.33,2.71,3,1076.0127038457708,4,6
172,0.56,5-Ideal,3-H,6-VVS2,60.9,57.0,5.38,5.33,3.26,2,2494.9066553685157,4,5
173,0.96,4-Premium,6-E,2-SI2,58.2,58.0,6.52,6.47,3.78,5,4944.163938531992,3,1
174,0.52,3-Very Good,6-E,3-SI1,62.7,57.0,5.1,5.14,3.21,5,1390.5210057828394,2,2
175,1.02,3-Very Good,3-H,3-SI1,63.5,55.0,6.31,6.35,4.02,2,4773.35024628744,2,2
176,1.06,2-Good,2-I,5-VS1,57.5,62.0,6.71,6.83,3.9,1,6198.076072535299,1,4
177,1.21,5-Ideal,3-H,3-SI1,62.1,59.0,6.81,6.75,4.21,2,6511.0938354793325,4,2
178,2.02,1-Fair,3-H,4-VS2,64.5,57.0,8.0,7.95,5.14,2,14013.50874386518,0,3
179,1.52,5-Ideal,4-G,4-VS2,62.1,56.0,7.39,7.34,4.57,3,10080.215044015005,4,3
180,2.03,3-Very Good,2-I,2-SI2,62.8,59.0,8.04,8.08,5.06,1,12799.077008772869,2,1
181,0.28,2-Good,5-F,6-VVS2,61.2,62.0,4.16,4.21,2.56,4,662.5477264064616,1,5
182,0.7,1-Fair,4-G,5-VS1,65.8,61.0,5.61,5.46,3.64,3,3241.686404404771,0,4
183,0.7,5-Ideal,4-G,7-VVS1,62.3,57.0,5.61,5.65,3.51,3,4501.4022531029095,4,6
184,2.32,1-Fair,3-H,1-I1,70.5,55.0,7.93,7.9,5.58,2,14710.996006776631,0,0
185,0.58,5-Ideal,1-J,4-VS2,60.9,57.0,5.38,5.4,3.28,0,960.4395467968438,4,3
186,0.54,5-Ideal,7-D,5-VS1,61.6,54.0,5.24,5.25,3.23,6,3015.875297423178,4,4
187,1.2,3-Very Good,2-I,3-SI1,62.9,54.0,6.75,6.77,4.25,1,6063.590851490035,2,2
188,0.52,3-Very Good,5-F,4-VS2,62.4,57.0,5.12,5.13,3.2,4,1626.0207807574293,2,3
189,1.57,4-Premium,5-F,2-SI2,60.2,60.0,7.49,7.43,4.49,4,9861.784460810852,3,1
190,0.7,4-Premium,2-I,1-I1,62.3,58.0,5.69,5.55,3.51,1,642.9994411496077,3,0
191,1.57,3-Very Good,3-H,3-SI1,62.0,60.0,7.4,7.44,4.6,2,9668.511931830475,2,2
192,1.02,3-Very Good,7-D,4-VS2,63.2,58.0,6.4,6.36,4.03,6,6596.7905824289755,2,3
193,1.5,4-Premium,5-F,4-VS2,62.4,57.0,7.38,7.29,4.58,4,10206.801721897555,3,3
194,0.7,3-Very Good,6-E,5-VS1,62.7,60.0,5.59,5.64,3.52,5,4040.9916737938797,2,4
195,0.42,4-Premium,5-F,3-SI1,60.6,58.0,4.89,4.81,2.94,4,308.5271933179538,3,2
196,2.01,4-Premium,3-H,3-SI1,60.0,60.0,8.16,8.13,4.89,2,13626.9971628255,3,2
197,0.31,4-Premium,4-G,5-VS1,62.2,58.0,4.38,4.34,2.71,3,17.48729731048843,3,4
198,0.44,5-Ideal,6-E,6-VVS2,61.9,56.0,4.91,4.88,3.03,5,2344.018268524243,4,5
199,0.7,5-Ideal,7-D,6-VVS2,61.7,55.0,5.73,5.75,3.54,6,4948.729070475774,4,5
200,1.2,4-Premium,1-J,3-SI1,60.0,61.0,6.89,6.84,4.12,0,5899.542813538825,3,2
201,1.05,5-Ideal,4-G,5-VS1,62.2,57.0,6.49,6.51,4.04,3,6496.852497763237,4,4
202,0.7,5-Ideal,5-F,1-I1,62.1,57.0,5.67,5.64,3.52,4,1606.3527484899264,4,0
203,0.53,4-Premium,5-F,3-SI1,60.9,59.0,5.21,5.23,3.18,4,1255.7926185061106,3,2
204,1.09,4-Premium,3-H,2-SI2,61.2,62.0,6.63,6.58,4.04,2,4970.831901768568,3,1
205,0.92,4-Premium,6-E,2-SI2,61.8,59.0,6.19,6.11,3.8,5,4403.326510228058,3,1
206,0.71,4-Premium,5-F,4-VS2,58.0,62.0,5.85,5.81,3.38,4,3522.598929551577,3,3
207,0.57,2-Good,5-F,2-SI2,61.9,57.7,5.32,5.34,3.3,4,1015.8792908388341,1,1
208,0.71,3-Very Good,4-G,4-VS2,63.5,59.0,5.67,5.63,3.59,3,2913.8141247140543,2,3
209,0.89,4-Premium,4-G,3-SI1,61.1,58.0,6.24,6.17,3.79,3,4079.739146663637,3,2
210,1.06,5-Ideal,4-G,3-SI1,62.9,56.0,6.52,6.49,4.09,3,5472.941227222511,4,2
211,0.86,4-Premium,3-H,2-SI2,61.0,58.0,6.15,6.12,3.74,2,2967.5641209166465,3,1
212,1.1,4-Premium,4-G,4-VS2,60.2,58.0,6.75,6.71,4.05,3,6503.332718893524,3,3
213,0.7,5-Ideal,6-E,3-SI1,62.5,57.0,5.7,5.72,3.57,5,2977.1717819385226,4,2
214,1.04,4-Premium,4-G,5-VS1,61.5,61.0,6.56,6.51,4.02,3,6446.354905808455,3,4
215,0.93,4-Premium,6-E,1-I1,62.3,60.0,6.23,6.2,3.87,5,3927.208641575237,3,0
216,1.1,4-Premium,5-F,1-I1,59.8,61.0,6.7,6.65,3.99,4,5230.4854786639535,3,0
217,2.12,4-Premium,3-H,2-SI2,62.3,58.0,8.25,8.16,5.12,2,13931.168450364405,3,1
218,0.33,5-Ideal,5-F,7-VVS1,62.4,55.0,4.44,4.47,2.78,4,1574.0132797898505,4,6
219,0.9,1-Fair,2-I,4-VS2,65.8,55.0,6.05,6.01,3.97,1,3820.4855325963867,0,3
220,0.71,5-Ideal,6-E,5-VS1,62.0,57.0,5.72,5.66,3.53,5,4165.612060229714,4,4
221,1.75,5-Ideal,4-G,4-VS2,62.1,57.0,7.73,7.69,4.79,3,12094.071795507076,4,3
222,0.81,5-Ideal,3-H,3-SI1,61.4,56.0,6.0,6.05,3.7,2,3045.7956649075636,4,2
223,0.75,2-Good,2-I,7-VVS1,63.9,61.0,5.7,5.67,3.63,1,4219.309209491466,1,6
224,0.4,5-Ideal,4-G,4-VS2,62.6,56.0,4.69,4.74,2.95,3,247.13582754020126,4,3
225,0.34,5-Ideal,4-G,4-VS2,62.1,55.0,4.49,4.46,2.78,3,-251.74568103126785,4,3
226,0.35,4-Premium,5-F,4-VS2,61.8,58.0,4.48,4.52,2.78,4,169.2848763576544,3,3
227,1.29,3-Very Good,2-I,4-VS2,62.8,58.0,6.89,6.93,4.34,1,7394.12067081563,2,3
228,1.7,4-Premium,4-G,3-SI1,61.7,58.0,7.69,7.6,4.72,3,11140.250359563086,3,2
229,1.01,4-Premium,5-F,3-SI1,62.7,54.0,6.42,6.37,4.01,4,5363.323364119513,3,2
230,0.47,2-Good,7-D,3-SI1,63.8,59.0,4.9,4.88,3.12,6,1212.0748335188646,1,2
231,0.71,4-Premium,6-E,3-SI1,59.2,59.0,5.86,5.83,3.46,5,3239.4487866963104,3,2
232,1.01,5-Ideal,4-G,5-VS1,61.3,56.0,6.49,6.44,3.96,3,6194.266908862683,4,4
233,0.92,2-Good,1-J,2-SI2,59.0,63.0,6.3,6.35,3.73,0,2963.631538023216,1,1
234,0.31,5-Ideal,5-F,7-VVS1,61.6,55.0,4.36,4.41,2.7,4,1441.251183959837,4,6
235,0.3,5-Ideal,4-G,7-VVS1,61.3,56.0,4.3,4.34,2.65,3,1051.9875384913657,4,6
236,0.7,3-Very Good,4-G,3-SI1,62.1,58.0,5.66,5.7,3.53,3,2363.1734987520445,2,2
237,1.01,4-Premium,3-H,8-IF,62.1,59.0,6.47,6.41,4.0,2,7445.936207811954,3,7
238,1.5,3-Very Good,3-H,2-SI2,62.5,60.0,7.25,7.32,4.55,2,8491.922149615193,2,1
239,0.9,3-Very Good,7-D,5-VS1,62.2,58.0,6.14,6.18,3.83,6,6136.231996533794,2,4
240,0.23,2-Good,5-F,6-VVS2,62.8,61.0,3.92,3.95,2.47,4,140.04101530872185,1,5
241,0.25,2-Good,6-E,6-VVS2,58.0,65.0,4.13,4.18,2.41,5,886.8824012963337,1,5
242,0.35,5-Ideal,5-F,6-VVS2,62.1,56.0,4.56,4.52,2.82,4,1227.8102828929364,4,5
243,0.73,3-Very Good,7-D,2-SI2,60.4,59.0,5.8,5.86,3.52,6,3131.4166222316603,2,1
