,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2936.915583594043
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5440.596937534246
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4642.322835930024
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6065.266895118962
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14551.08401791337
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,531.8596778276046
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4215.4833003286385
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,2887.8129346115247
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11443.489124168656
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3895.6231569241572
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3243.7467076085645
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1011.3116457968862
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,471.54377995075333
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,753.2782648642831
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7725.40614081557
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10907.80287763599
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5179.0622064352265
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1273.5056466809542
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3025.124309926735
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5230.322160943437
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4914.795452676919
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,504.50952810504396
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,458.8264526442117
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3051.346730674194
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5155.479207935989
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9589.876882267388
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4586.062619397302
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,49.35088600067047
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,336.87095076629294
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,478.02734897225105
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3390.5078804799055
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,957.3428305920032
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,249.99348765931154
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5091.847113275488
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1635.925764706219
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11327.306863946571
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1407.8408458126628
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3035.341535100726
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1778.8012954132046
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5272.693820715387
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,433.68831815214844
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5386.659284612215
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7214.073096406729
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5552.813678836512
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5778.311109179935
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4323.5725312909335
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2000.4285832546018
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3804.3216633561824
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,223.1637308248828
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3453.493919669082
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6933.128710415549
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9760.429368983341
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7088.690849364968
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3151.7811631607665
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1871.3386757890933
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1368.6900064065585
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1001.017425072943
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,823.0746793613694
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2191.8452601242325
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2942.389085903378
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9550.445069841971
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8007.673356813503
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5553.053541924088
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,974.6557419692268
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,907.5709641755475
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,566.4783289399027
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,289.1929940986429
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6327.883521925986
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,873.4850441476506
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,819.6527152922949
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1295.3583034534795
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,433.29963051877485
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11434.781201720401
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7360.097175264972
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5358.603588618751
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10152.43116180008
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,932.7761465686863
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17331.406223412843
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5499.929149887017
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,284.85439240656933
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14312.0795468004
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,3089.387345855568
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,5479.358213189504
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9609.471247323567
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,642.3460774031605
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9222.690755532323
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,334.92473659270945
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5118.751475112484
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1180.7698986085688
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5249.638386746439
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,10069.336021878826
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5399.881014486435
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,18364.721667757593
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2994.9061418534784
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4769.334823967184
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,468.16053526603264
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7439.446378596883
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15998.107921067724
